energy_eV,absorption
2.805072116334836,1.7976931348623157e+308
2.8371667629748227,103519.66643998217
2.8700043412499943,28755.462899995047
2.9036109494613527,12939.958304997772
2.938013922796203,7394.261888570157
2.973241907482009,3450.655547999406
3.0093249403397997,1035.1966643998219
3.0462945342014685,25.879916609995544
3.0841837697014864,7.725348241789715
3.123027394005032,3.569643670344213
3.162861927091831,2.156659717499629
3.2037257762790636,1.4788523777140312
3.2456593597382137,1.0520291304876237
3.2887052398408425,0.8308159425359726
3.3329082672580586,0.6882956545211582
3.3783157368392303,0.5935760690365951
3.424977556408833,0.5448403496841168
3.4729464297478927,0.5217725122982972
3.5222780551704482,0.5175983321999109
3.573031341268005,0.5363713287045708
3.6252686415789404,0.586846181632552
3.679056010148361,0.6551877622783682
3.734463480180716,0.7394261888570156
3.7915653682568733,0.8583720268655238
3.850440606894402,0.9877830767173872
3.9111731085804338,1.2093418976633432
3.9738521648076848,1.466284227195215
4.0385728841042265,1.8354550787230883
4.1054366735761505,2.342073901357063
4.174551769090901,3.118062242168138
4.246033819931499,4.107923271427865
4.320006534564452,5.175983321999109
4.396602395106375,6.635876053845012
4.475963449169666,7.188865724998762
